"Marca temporal","¿Con qué frecuencia practicas tu instrumento o canto?","¿Qué tipo de recursos utilizas para estudiar música?","¿Conoce estudios de grabación y de producción musical en la ciudad de Cali?","¿Ha asistido a estudios de grabación y/o de producción musical?","¿Por qué no asistes a estudios de grabación y/o de producción musical?","¿Piensas que el costo/beneficio de los estudios de grabación y/o de producción musical es justo?","¿Que otras alternativas de estudios de grabación haz utilizado?","¿Que tan frecuente usa estos espacios?","¿Piensas que los estudios de grabación y/o de producción musical da espacio para conocer a personas que puedan ayudar a tu crecimiento profesional?","¿Piensas que el costo/beneficio de los estudios de grabación y/o de producción musical es justo?","¿Crees que hay suficientes oportunidades para los estudiantes de música para conectarse con otros músicos y colaborar en proyectos?"
"2023/03/12 1:15:44 p. m. GMT-5","Casi siempre","Videos","Sí","No","Por el costo","Sí","En casa","","","Sí","No"
"2023/03/12 1:17:17 p. m. GMT-5","Casi siempre","Libros;Videos","Sí","Sí","","","","Casi nunca","Sí","Sí","Sí"
"2023/03/12 1:19:14 p. m. GMT-5","A veces","Videos;Paginas web","Sí","Sí","","","","Casi nunca","Sí","Sí","Sí"
"2023/03/12 1:29:28 p. m. GMT-5","A veces","Videos","No","No","Por el costo;Por la poca adecuacion del espacio","Sí","En casa","","","No","No"
"2023/03/12 1:30:35 p. m. GMT-5","Siempre","Libros;Videos","Sí","Sí","","","","Casi nunca","Sí","No","Sí"
"2023/03/12 1:34:22 p. m. GMT-5","A veces","Libros;Videos;Paginas web","Sí","Sí","","","","A veces","Sí","Sí","No"
"2023/03/12 1:35:49 p. m. GMT-5","Casi siempre","Libros;Videos;Paginas web","Sí","Sí","","","","A veces","Sí","Sí","Sí"
"2023/03/12 1:35:56 p. m. GMT-5","A veces","Videos;Paginas web","Sí","Sí","","","","A veces","Sí","Sí","Sí"
"2023/03/12 1:37:27 p. m. GMT-5","Casi siempre","Libros;Videos;Paginas web","Sí","Sí","","","","A veces","Sí","Sí","Sí"
"2023/03/12 1:45:24 p. m. GMT-5","Casi nunca","Videos","Sí","Sí","","","","Siempre","Sí","No","Sí"
"2023/03/12 1:45:29 p. m. GMT-5","Casi siempre","Libros;Videos","Sí","Sí","","","","Casi siempre","Sí","Sí","No"
"2023/03/12 1:47:55 p. m. GMT-5","A veces","Videos;Paginas web","Sí","Sí","","","","A veces","Sí","Sí","Sí"
"2023/03/12 1:48:42 p. m. GMT-5","Casi siempre","Videos","Sí","Sí","","","","A veces","Sí","Sí","No"
"2023/03/12 2:06:58 p. m. GMT-5","Casi siempre","Videos;Paginas web","Sí","Sí","","","","Casi siempre","Sí","Sí","Sí"
"2023/03/12 2:36:46 p. m. GMT-5","Casi siempre","Videos","Sí","Sí","","","","Casi nunca","Sí","Sí","No"
